page_title,உள்நுழைக ரெமிட்பீ ஆன்லைன் பண பரிமாற்றம்
page_description,ரெமிட்பீக்கு மீண்டும் வருக! கனடாவிலிருந்து ஆன்லைனில் பணம் அனுப்ப உங்கள் தனிப்பட்ட கணக்கில் உள்நுழைக.
back_to_login,உள்நுழைய திரும்பவும்
dont_have_account,இன்னும் கணக்கு இல்லையா?
enter_the_6_digit_code,எஸ்எம்எஸ் மூலம் நீங்கள் பெற்ற 6 இலக்க குறியீட்டை உள்ளிடவும்
enter_your_email_to_reset,உங்கள் கடவுச்சொல்லை மீட்க உங்கள் மின்னஞ்சலை உள்ளிடவும்
enter_your_verification_code,உங்கள் கைத்தொலைபேசியை பாருங்கள்
forgot_your_password,உங்கள் கடவுச்சொல்லை மறந்து விட்டீர்களா?
login,உள்நுழைய
remember_device,இந்த சாதனத்தை நினைவில் கொள்க
resend_code,குறியீட்டை மீண்டும் அனுப்பு
send_reset_link,மீட்டமைப்பு இணைப்பை அனுப்பவும்
signup,இணையுங்கள்
the_email_maybe_on_spam,"இந்த மின்னஞ்சலை நீங்கள் பெறவில்லை எனில், உங்கள் ஸ்பேம் அல்லது மொத்த மின்னஞ்சல் கோப்புறையை சரிபார்க்கவும்."
verify_code,உறுதிப்படுத்துக்கள்
welcome_to_remitbee,ரெமிட்பீக்கு மீண்டும் வருக!
weve_sent_a_verification_code,உங்கள் தொலைபேசியை சரிபார்க்கவும். நாங்கள் உங்களுக்கு சரிபார்ப்புக் குறியீட்டை அனுப்பியுள்ளோம்.
email_label,மின்னஞ்சல்
password_label,கடவுச்சொல்
only_heroes_title,மாவீரர்கள் & தியாகிககள் மட்டுமே
choose_title,தேர்வு செய்யவும்
remitbee_title,ரெமிட்பீ
weve_sent_you_a_reset_link,உங்கள் மின்னஞ்சல் பார்க்க. உங்கள் கணக்கிற்கான புதிய கடவுச்சொல்லை அமைக்க மீட்பு இணைப்பை உங்களுக்கு அனுப்பியுள்ளோம்.
code_resend_success,உங்கள் தொலைபேசியில் மற்றொரு குறியீடு அனுப்பப்பட்டது
code_resend_error,உங்களுக்கு புதிய குறியீட்டை அனுப்பும்போது சிக்கல் ஏற்பட்டது.
not_a_robot,"தயவுசெய்து, தொடர ""நான் ஒரு ரோபோ இல்லை"" என்பதைக் கிளிக் செய்க"
